year,month,country,value_fob_usd,trade_type,sector
1997,8,,1600.0,export,Metaliferos
1998,1,,151141.59,export,Metaliferos
1998,2,,96957.36,export,Metaliferos
1998,3,,125436.14,export,Metaliferos
1998,4,,132957.36,export,Metaliferos
1998,5,,143719.39,export,Metaliferos
1998,6,,36000.0,export,Metaliferos
1998,7,,82414.01,export,Metaliferos
1998,8,,24957.36,export,Metaliferos
1998,9,,70307.8,export,Metaliferos
1998,10,,75984.52,export,Metaliferos
1998,11,,24957.36,export,Metaliferos
1998,12,,173954.0,export,Metaliferos
1999,1,,27192.43,export,Metaliferos
1999,2,,54706.77,export,Metaliferos
1999,3,,77546.26,export,Metaliferos
1999,4,,49806.8,export,Metaliferos
1999,5,,31764.05,export,Metaliferos
1999,6,,78892.48,export,Metaliferos
1999,8,,77080.55,export,Metaliferos
1999,9,,27239.33,export,Metaliferos
1999,10,,116534.55,export,Metaliferos
1999,11,,355328.04,export,Metaliferos
1999,12,,36475.24,export,Metaliferos
2000,1,,37228.89,export,Metaliferos
2000,2,,27690.82,export,Metaliferos
2000,3,,37102.68,export,Metaliferos
2000,4,,27292.55,export,Metaliferos
2000,6,,76388.25,export,Metaliferos
2000,7,,27260.24,export,Metaliferos
2000,8,,55654.02,export,Metaliferos
2000,9,,27260.64,export,Metaliferos
2000,10,,87448.57,export,Metaliferos
2000,12,,83240.44,export,Metaliferos
2001,1,,31729.89,export,Metaliferos
2001,2,,56416.41,export,Metaliferos
2001,3,,27226.52,export,Metaliferos
2001,4,,83501.71,export,Metaliferos
2001,5,,27161.09,export,Metaliferos
2001,6,,55654.02,export,Metaliferos
2001,7,,38719.0,export,Metaliferos
2001,8,,32547.6,export,Metaliferos
2001,9,,54330.08,export,Metaliferos
2001,10,,27171.16,export,Metaliferos
2001,11,,44747.28,export,Metaliferos
2001,12,,31652.44,export,Metaliferos
2002,1,,86733.41,export,Metaliferos
2002,2,,22741.99,export,Metaliferos
2002,3,,43690.12,export,Metaliferos
2002,5,,4408.61,export,Metaliferos
2002,6,,12807.55,export,Metaliferos
2002,11,,3821.71,export,Metaliferos
2003,3,,4521.12,export,Metaliferos
2003,4,,5904.52,export,Metaliferos
2003,5,,24620.06,export,Metaliferos
2003,8,,19318.06,export,Metaliferos
2003,9,,35676.28,export,Metaliferos
2003,10,,35212.3,export,Metaliferos
2003,11,,8231.11,export,Metaliferos
2003,12,,39438.37,export,Metaliferos
2004,1,,535236.23,export,Metaliferos
2004,2,,39782.53,export,Metaliferos
2004,3,,57365.54,export,Metaliferos
2004,4,,35702.45,export,Metaliferos
2004,5,,65820.93,export,Metaliferos
2004,7,,58689.05,export,Metaliferos
2004,8,,32574.29,export,Metaliferos
2004,9,,8000.0,export,Metaliferos
2004,10,,32641.28,export,Metaliferos
2004,12,,38270.48,export,Metaliferos
2005,1,,34.39,export,Metaliferos
2005,2,,38251.52,export,Metaliferos
2005,3,,72755.48,export,Metaliferos
2005,4,,32801.74,export,Metaliferos
2005,6,,27285.51,export,Metaliferos
2005,7,,27386.15,export,Metaliferos
2005,8,,43475.72,export,Metaliferos
2005,10,,27373.32,export,Metaliferos
2005,11,,32883.92,export,Metaliferos
2005,12,,43855.84,export,Metaliferos
2006,1,,3500.0,export,Metaliferos
2006,2,,35428.03,export,Metaliferos
2006,4,,32950.17,export,Metaliferos
2006,5,,33936.0,export,Metaliferos
2006,7,,33040.7,export,Metaliferos
2006,8,,21850.04,export,Metaliferos
2006,9,,72680.31,export,Metaliferos
2006,10,,49365.91,export,Metaliferos
2006,12,,9428.34,export,Metaliferos
2007,1,,34142.04,export,Metaliferos
2007,2,,175728.73,export,Metaliferos
2007,3,,29193.72,export,Metaliferos
2007,4,,54325.31,export,Metaliferos
2007,6,,72731.99,export,Metaliferos
2007,7,,38249.88,export,Metaliferos
2007,10,,38471.63,export,Metaliferos
2008,1,,33092.74,export,Metaliferos
2008,2,,44122.81,export,Metaliferos
2008,4,,44274.5,export,Metaliferos
2008,5,,64000.0,export,Metaliferos
2008,6,,33203.27,export,Metaliferos
2008,8,,33191.26,export,Metaliferos
2008,9,,33105.23,export,Metaliferos
2008,11,,76666.48,export,Metaliferos
2009,1,,41427.98,export,Metaliferos
2009,2,,72037.36,export,Metaliferos
2009,3,,30788.39,export,Metaliferos
2009,4,,165441.51,export,Metaliferos
2009,5,,83247.86,export,Metaliferos
2009,6,,912926.51,export,Metaliferos
2009,7,,8737.5,export,Metaliferos
2009,8,,92365.29,export,Metaliferos
2009,9,,45693.81,export,Metaliferos
