year,month,country,procedence,value_cif_usd,trade_type,sector
1994,1,Estados Unidos,Estados Unidos,3278.0,import,Metaliferos
1995,1,Canada,Canada,29747.0,import,Metaliferos
1995,2,Alemania,Alemania,592.0,import,Metaliferos
1995,3,Alemania,Alemania,373.0,import,Metaliferos
1995,3,Canada,Canada,7880.0,import,Metaliferos
1995,4,Alemania,Alemania,287.0,import,Metaliferos
1995,4,Canada,Canada,14773.0,import,Metaliferos
1995,5,Alemania,Alemania,238.0,import,Metaliferos
1995,7,Canada,Canada,11962.0,import,Metaliferos
1995,8,Canada,Canada,16515.0,import,Metaliferos
1995,10,Canada,Canada,7415.0,import,Metaliferos
1995,10,Reino Unido,Reino Unido,6229.0,import,Metaliferos
1995,11,Alemania,Alemania,124.0,import,Metaliferos
1995,11,Belgica,Belgica,4125.0,import,Metaliferos
1995,11,Canada,Canada,11336.0,import,Metaliferos
1995,12,Belgica,Belgica,16536.0,import,Metaliferos
1995,12,Canada,Canada,13956.0,import,Metaliferos
1996,1,Canada,Canada,4195.0,import,Metaliferos
1996,3,Estados Unidos,Estados Unidos,5124.0,import,Metaliferos
1996,7,Alemania,Alemania,284.0,import,Metaliferos
1996,7,Reino Unido,Reino Unido,24077.0,import,Metaliferos
1996,7,Rusia,Rusia,921559.0,import,Metaliferos
1996,8,Francia,Francia,65247.0,import,Metaliferos
1996,9,Alemania,Alemania,337.0,import,Metaliferos
1996,11,Alemania,Alemania,775.0,import,Metaliferos
1996,12,Alemania,Alemania,257.0,import,Metaliferos
1997,1,Alemania,Alemania,402.0,import,Metaliferos
1997,6,Canada,Canada,134.0,import,Metaliferos
1997,8,Alemania,Alemania,1019.0,import,Metaliferos
1997,9,Alemania,Alemania,147.0,import,Metaliferos
1997,10,Canada,Estados Unidos,1378000.0,import,Metaliferos
1997,10,Estados Unidos,Estados Unidos,38.0,import,Metaliferos
1997,12,Alemania,Alemania,459.0,import,Metaliferos
1997,12,Estados Unidos,Estados Unidos,394.0,import,Metaliferos
1998,1,Alemania,Alemania,88.55,import,Metaliferos
1998,2,Alemania,Alemania,420.4,import,Metaliferos
1998,4,Estados Unidos,Estados Unidos,1640.78,import,Metaliferos
1998,4,Uzbekistan,Estados Unidos,3069426.17,import,Metaliferos
1998,6,Alemania,Alemania,59.04,import,Metaliferos
1998,8,Alemania,Alemania,108.93,import,Metaliferos
1998,9,Alemania,Alemania,365.79,import,Metaliferos
1998,9,Belgica,Belgica,5874.8,import,Metaliferos
1998,9,Canada,Canada,1043125.51,import,Metaliferos
1998,10,Alemania,Alemania,252.26,import,Metaliferos
1998,11,Alemania,Alemania,235.97,import,Metaliferos
1998,12,Alemania,Alemania,264.45,import,Metaliferos
1998,12,Canada,Canada,27018.25,import,Metaliferos
1998,12,Rusia,Estados Unidos,1347091.0,import,Metaliferos
1999,1,Alemania,Alemania,13.96,import,Metaliferos
1999,1,Estados Unidos,Estados Unidos,11499.71,import,Metaliferos
1999,3,Alemania,Alemania,12.24,import,Metaliferos
1999,3,Belgica,Belgica,518.37,import,Metaliferos
1999,4,Suecia,Suecia,55.66,import,Metaliferos
1999,6,Alemania,Brasil,564265.24,import,Metaliferos
1999,6,"Corea, Republica de","Corea, Republica de",410.0,import,Metaliferos
1999,8,Alemania,Brasil,565100.0,import,Metaliferos
1999,8,Suecia,Brasil,15700.0,import,Metaliferos
1999,11,Rusia,Alemania,2185000.0,import,Metaliferos
2000,1,Estados Unidos,Alemania,17.75,import,Metaliferos
2000,3,Suecia,Alemania,2298493.15,import,Metaliferos
2000,4,Reino Unido,Alemania,32.58,import,Metaliferos
2000,5,Rusia,Alemania,2385381.6,import,Metaliferos
2000,6,Francia,Alemania,47.22,import,Metaliferos
2000,8,Canada,Canada,8969.55,import,Metaliferos
2000,8,Francia,Alemania,30.92,import,Metaliferos
2000,10,Brasil,Brasil,46000.0,import,Metaliferos
2000,11,Suiza,Suiza,215.8,import,Metaliferos
2000,12,Canada,Canada,39625.08,import,Metaliferos
2000,12,España,España,57595.79,import,Metaliferos
2000,12,Reino Unido,Reino Unido,179.62,import,Metaliferos
2001,1,Reino Unido,Reino Unido,841.5,import,Metaliferos
2001,2,Estados Unidos,Estados Unidos,476.72,import,Metaliferos
2001,2,Rusia,Alemania,2012400.0,import,Metaliferos
2001,4,Suecia,Alemania,1303553.66,import,Metaliferos
2001,5,Estados Unidos,Estados Unidos,692.86,import,Metaliferos
2001,11,Argentina,Luxemburgo,1020.1,import,Metaliferos
2002,6,Canada,Canada,249795.44,import,Metaliferos
2002,9,Brasil,Brasil,420945.0,import,Metaliferos
2002,11,Estados Unidos,Estados Unidos,2805.22,import,Metaliferos
2003,2,Canada,Canada,565986.3,import,Metaliferos
2003,2,Uzbekistan,Alemania,1538711.72,import,Metaliferos
2003,6,Canada,Canada,390035.1,import,Metaliferos
