date,year,month,price_usd,unit,mineral
1990-01-01,1990,1,9.0,Dólar por Libra (USD/lb),Uranio (U)
1990-02-01,1990,2,8.8,Dólar por Libra (USD/lb),Uranio (U)
1990-03-01,1990,3,8.8,Dólar por Libra (USD/lb),Uranio (U)
1990-04-01,1990,4,8.65,Dólar por Libra (USD/lb),Uranio (U)
1990-05-01,1990,5,9.35,Dólar por Libra (USD/lb),Uranio (U)
1990-06-01,1990,6,11.0,Dólar por Libra (USD/lb),Uranio (U)
1990-07-01,1990,7,11.6,Dólar por Libra (USD/lb),Uranio (U)
1990-08-01,1990,8,11.45,Dólar por Libra (USD/lb),Uranio (U)
1990-09-01,1990,9,10.5,Dólar por Libra (USD/lb),Uranio (U)
1990-10-01,1990,10,8.5,Dólar por Libra (USD/lb),Uranio (U)
1990-11-01,1990,11,9.5,Dólar por Libra (USD/lb),Uranio (U)
1990-12-01,1990,12,9.7,Dólar por Libra (USD/lb),Uranio (U)
1991-01-01,1991,1,9.1,Dólar por Libra (USD/lb),Uranio (U)
1991-02-01,1991,2,9.5,Dólar por Libra (USD/lb),Uranio (U)
1991-03-01,1991,3,9.4,Dólar por Libra (USD/lb),Uranio (U)
1991-04-01,1991,4,9.0,Dólar por Libra (USD/lb),Uranio (U)
1991-05-01,1991,5,9.2,Dólar por Libra (USD/lb),Uranio (U)
1991-06-01,1991,6,9.0,Dólar por Libra (USD/lb),Uranio (U)
1991-07-01,1991,7,8.55,Dólar por Libra (USD/lb),Uranio (U)
1991-08-01,1991,8,8.25,Dólar por Libra (USD/lb),Uranio (U)
1991-09-01,1991,9,7.25,Dólar por Libra (USD/lb),Uranio (U)
1991-10-01,1991,10,7.25,Dólar por Libra (USD/lb),Uranio (U)
1991-11-01,1991,11,7.5,Dólar por Libra (USD/lb),Uranio (U)
1991-12-01,1991,12,7.4,Dólar por Libra (USD/lb),Uranio (U)
1992-01-01,1992,1,8.75,Dólar por Libra (USD/lb),Uranio (U)
1992-02-01,1992,2,7.9,Dólar por Libra (USD/lb),Uranio (U)
1992-03-01,1992,3,7.75,Dólar por Libra (USD/lb),Uranio (U)
1992-04-01,1992,4,7.75,Dólar por Libra (USD/lb),Uranio (U)
1992-05-01,1992,5,7.55,Dólar por Libra (USD/lb),Uranio (U)
1992-06-01,1992,6,7.75,Dólar por Libra (USD/lb),Uranio (U)
